ID,MSLG,SPA,MSLG_clean
220,PEZ COLOR AZUL MI FAVORITO,Los peces azules son mis favoritos.,PEZ COLOR AZUL MI FAVORITO
749,YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER,"Estoy feliz, mi hijo ya tiene licencia de conducir.",YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER
180,SU LIBRO MATEMÁTICAS USTEDES SACAR,Saquen su libro de Matemáticas.,SU LIBRO MATEMÁTICAS USTEDES SACAR
239,YO NECESITAR PAPEL PARA AGUA ABSORBER,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER
673,dm-ISABEL TENER SU CORONA ORO,Isabel tiene una corona de oro.,ISABEL TENER SU CORONA ORO
659,ESTE JUGUETE BARATO,Este juguete está barato.,ESTE JUGUETE BARATO
402,¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?,¿Le pusiste atención a tu maestra?,¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?
132,MI MAMÁ USA CREMA-DE-COSMÉTICO,Mi mamá usa crema para la cara.,MI MAMÁ USA CREMA-DE-COSMÉTICO
568,SIEMPRE BEBÉ EXPRESAR EXPRESAR,El bebé siempre es muy expresivo.,SIEMPRE BEBÉ EXPRESAR EXPRESAR
613,AYER MI TIO SAN FRANCISCO YA LLEGAR,Ayer llegó mi tío de San Francisco.,AYER MI TIO SAN FRANCISCO YA LLEGAR
520,A-FUERZA TÚ DEBER TÚ PAGAR MÍ,Debes pagarme a fuerza.,A-FUERZA TÚ DEBER TÚ PAGAR MÍ
258,ESA ANTENA CARA VERDAD,Esa antena es muy cara.,ESA ANTENA CARA VERDAD
638,TEPITO LUGAR FAMOSO,Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO
666,YO YA GANAR CAMPEONATO,Yo gané el campeonato.,YO YA GANAR CAMPEONATO
308,SACAR-COPIA TÚ DEBER,Debes sacar una copia.,SACAR-COPIA TÚ DEBER
